,answer,groups,imageId,question,entailed,equivalent,local_question_group,local_question_group_clean,global_question_group
17869330,road,"{'global': 'road', 'local': '02q-place'}",1592485,What place was the picture taken at?,['17869331'],['17869330'],02q-place,place,road
199144,path,"{'global': 'road', 'local': '02q-place'}",2364424,Where was the image taken?,['199145'],['199144'],02q-place,place,road
07112866,sea,"{'global': 'place', 'local': '02q-place'}",2355122,Which venue is this?,"['07112868', '07112867']","['07112866', '07112867']",02q-place,place,place
06332686,restaurant,"{'global': 'place', 'local': '02q-place'}",2411198,Which place is it?,"['06332690', '06332688', '06332689', '06332684', '06332685', '06332687', '06332691', '06332683']",['06332686'],02q-place,place,place
13535872,train station,"{'global': 'place', 'local': '02q-place'}",2329703,Which place is it?,"['13535874', '13535875', '13535871', '13535873']",['13535872'],02q-place,place,place
07168479,road,"{'global': 'road', 'local': '02q-place'}",2373074,Which place is it?,"['07168478', '07168476', '07168477']",['07168479'],02q-place,place,road
18250268,field,"{'global': 'place', 'local': '02q-place'}",2399836,Which place is it?,"['18250272', '18250270', '18250271', '18250267', '18250269']",['18250268'],02q-place,place,place
06953844,airport,"{'global': 'place', 'local': '02q-place'}",2411874,Which place is it?,"['06953843', '06953845', '06953847', '06953846']",['06953844'],02q-place,place,place
12244049,ocean,"{'global': 'place', 'local': '02q-place'}",2393538,Which place is it?,['12244048'],['12244049'],02q-place,place,place
12244048,ocean,"{'global': 'place', 'local': '02q-place'}",2393538,Which place is this photo at?,['12244049'],['12244048'],02q-place,place,place
02192216,ocean,"{'global': 'place', 'local': '02q-place'}",2360026,What place could this be?,['02192217'],['02192216'],02q-place,place,place
07341496,street,"{'global': 'place', 'local': '02q-place'}",3471,What place could this be?,['07341497'],['07341496'],02q-place,place,place
18148302,harbor,"{'global': 'place', 'local': '02q-place'}",2409832,Which place is it?,"['18148303', '18148301', '18148304', '18148305']",['18148302'],02q-place,place,place
1123244,store,"{'global': 'place', 'local': '02q-place'}",2266,Which place is it?,"['1123245', '1123246', '1123247', '1123243']",['1123244'],02q-place,place,place
02766593,stadium,"{'global': 'place', 'local': '02q-place'}",2381507,Which place is it?,['02766592'],['02766593'],02q-place,place,place
02766592,stadium,"{'global': 'place', 'local': '02q-place'}",2381507,What place could this be?,['02766593'],['02766592'],02q-place,place,place
11142559,yard,"{'global': 'place', 'local': '02q-place'}",2367721,What place is shown?,['11142560'],['11142559'],02q-place,place,place
00256010,sidewalk,"{'global': 'road', 'local': '02q-place'}",2410645,Which place is it?,"['00256009', '00256008']",['00256010'],02q-place,place,road
12395076,ocean,"{'global': 'place', 'local': '02q-place'}",2348971,Which place is it?,['12395075'],['12395076'],02q-place,place,place
0489630,park,"{'global': 'place', 'local': '02q-place'}",2383652,Which place is it?,"['0489631', '0489633', '0489629', '0489632']",['0489630'],02q-place,place,place
1069614,city,"{'global': 'place', 'local': '02q-place'}",2397756,Which place is it?,"['1069613', '1069612', '1069615', '1069617', '1069616']",['1069614'],02q-place,place,place
11304802,garage,"{'global': 'place', 'local': '02q-place'}",2390445,Which place is it?,"['11304803', '11304801', '11304805', '11304804']",['11304802'],02q-place,place,place
17997893,pen,"{'global': '', 'local': '02q-place'}",2341238,What kind of place is this?,"['17997894', '17997895']","['17997893', '17997894']",02q-place,place,
14627802,zoo,"{'global': 'place', 'local': '02q-place'}",2354118,Which place is it?,"['14627803', '14627801', '14627806', '14627805', '14627804']",['14627802'],02q-place,place,place
08374519,street,"{'global': 'place', 'local': '02q-place'}",2349564,Which place is it?,['08374518'],['08374519'],02q-place,place,place
03679386,display,"{'global': 'place', 'local': '02q-place'}",1159995,What place is shown?,['03679387'],['03679386'],02q-place,place,place
03679387,display,"{'global': 'place', 'local': '02q-place'}",1159995,Which place is it?,['03679386'],['03679387'],02q-place,place,place
041001775,station,"{'global': 'place', 'local': '02q-place'}",2340823,Which place is it?,['041001774'],['041001775'],02q-place,place,place
02895949,restaurant,"{'global': 'place', 'local': '02q-place'}",2363559,Which place is it?,"['02895948', '02895952', '02895953', '02895950', '02895951']",['02895949'],02q-place,place,place
07373734,field,"{'global': 'place', 'local': '02q-place'}",2366214,Which place is it?,"['07373733', '07373737', '07373736', '07373735']",['07373734'],02q-place,place,place
11371076,stadium,"{'global': 'place', 'local': '02q-place'}",2412987,Which place is this image in?,['11371077'],['11371076'],02q-place,place,place
03552330,ocean,"{'global': 'place', 'local': '02q-place'}",2367159,What place is shown?,['03552331'],['03552330'],02q-place,place,place
19646949,street,"{'global': 'place', 'local': '02q-place'}",1861,What kind of place is it?,['19646950'],['19646949'],02q-place,place,place
08626082,airport,"{'global': 'place', 'local': '02q-place'}",2342413,Which place is it?,"['08626084', '08626085', '08626086', '08626081', '08626083']",['08626082'],02q-place,place,place
16904709,airport,"{'global': 'place', 'local': '02q-place'}",2367496,Which place is it?,"['16904712', '16904711', '16904710', '16904708']",['16904709'],02q-place,place,place
11429090,field,"{'global': 'place', 'local': '02q-place'}",2395012,Which place is it?,"['11429091', '11429092', '11429093', '11429094']",['11429090'],02q-place,place,place
14759627,street,"{'global': 'place', 'local': '02q-place'}",2411451,What place could this be?,['14759628'],['14759627'],02q-place,place,place
14166103,sidewalk,"{'global': 'road', 'local': '02q-place'}",2353510,What place is pictured?,"['14166104', '14166105', '14166106', '14166107']","['14166104', '14166105', '14166106', '14166103']",02q-place,place,road
18722671,restaurant,"{'global': 'place', 'local': '02q-place'}",2320999,Which place is it?,"['18722669', '18722674', '18722670', '18722672', '18722673']",['18722671'],02q-place,place,place
13383220,street,"{'global': 'place', 'local': '02q-place'}",1714,Which place is it?,['13383219'],['13383220'],02q-place,place,place
001029658,ocean,"{'global': 'place', 'local': '02q-place'}",2400725,Where was the image taken?,['001029659'],['001029658'],02q-place,place,place
14798142,walkway,"{'global': 'road', 'local': '02q-place'}",2392052,Where is this?,['14798143'],['14798142'],02q-place,place,road
14798143,walkway,"{'global': 'road', 'local': '02q-place'}",2392052,Which place is it?,['14798142'],['14798143'],02q-place,place,road
071040499,parking lot,"{'global': 'place', 'local': '02q-place'}",2330823,Which place is it?,"['071040503', '071040502', '071040501', '071040500', '071040498']",['071040499'],02q-place,place,place
12249716,display,"{'global': 'place', 'local': '02q-place'}",2339937,What type of place is it?,['12249717'],['12249716'],02q-place,place,place
12249717,display,"{'global': 'place', 'local': '02q-place'}",2339937,Which place is it?,['12249716'],['12249717'],02q-place,place,place
14413344,tunnel,"{'global': 'place', 'local': '02q-place'}",2334429,What place was the photo taken at?,['14413345'],['14413344'],02q-place,place,place
14413345,tunnel,"{'global': 'place', 'local': '02q-place'}",2334429,Which place is it?,['14413344'],['14413345'],02q-place,place,place
06450948,museum,"{'global': 'place', 'local': '02q-place'}",2359240,Which place is it?,"['06450951', '06450950', '06450952', '06450947', '06450949']",['06450948'],02q-place,place,place
131019611,ocean,"{'global': 'place', 'local': '02q-place'}",2316949,Which place is it?,['131019610'],['131019611'],02q-place,place,place
0266582,harbor,"{'global': 'place', 'local': '02q-place'}",2417389,Which place is it?,"['0266584', '0266585', '0266581', '0266583']",['0266582'],02q-place,place,place
1220930,field,"{'global': 'place', 'local': '02q-place'}",2368880,Which place is it?,"['1220933', '1220932', '1220931', '1220929', '1220934']",['1220930'],02q-place,place,place
05981748,road,"{'global': 'road', 'local': '02q-place'}",2377043,What is the image showing?,['05981749'],['05981748'],02q-place,place,road
05981749,road,"{'global': 'road', 'local': '02q-place'}",2377043,Which place is it?,['05981748'],['05981749'],02q-place,place,road
15412953,field,"{'global': 'place', 'local': '02q-place'}",2384958,Which place is it?,"['15412952', '15412957', '15412956', '15412955', '15412954']",['15412953'],02q-place,place,place
0641993,beach,"{'global': 'place', 'local': '02q-place'}",2337088,Which place is it?,"['0641994', '0641995', '0641996', '0641997', '0641992']",['0641993'],02q-place,place,place
13510933,field,"{'global': 'place', 'local': '02q-place'}",2382192,Which place is it?,"['13510934', '13510935', '13510936', '13510932']",['13510933'],02q-place,place,place
16482463,street,"{'global': 'place', 'local': '02q-place'}",713823,Which place is it?,['16482462'],['16482463'],02q-place,place,place
16583704,street,"{'global': 'place', 'local': '02q-place'}",1477,What kind of place is shown?,"['16583703', '16583705']","['16583703', '16583704']",02q-place,place,place
1017206,train station,"{'global': 'place', 'local': '02q-place'}",2413270,Which place is it?,"['1017209', '1017208', '1017207', '1017205']",['1017206'],02q-place,place,place
03431889,parking lot,"{'global': 'place', 'local': '02q-place'}",2353651,Which place is it?,"['03431891', '03431890', '03431888', '03431892']",['03431889'],02q-place,place,place
14224333,pavement,"{'global': 'road', 'local': '02q-place'}",2405028,Which place is it?,['14224332'],['14224333'],02q-place,place,road
16110797,road,"{'global': 'road', 'local': '02q-place'}",2321400,Which place is it?,['16110796'],['16110797'],02q-place,place,road
031051321,stadium,"{'global': 'place', 'local': '02q-place'}",2316512,Which place is it?,['031051320'],['031051321'],02q-place,place,place
08293692,parking lot,"{'global': 'place', 'local': '02q-place'}",1592573,Which place is it?,"['08293691', '08293693', '08293695', '08293694', '08293697', '08293696', '08293698']",['08293692'],02q-place,place,place
11656375,station,"{'global': 'place', 'local': '02q-place'}",2318143,Which place could this be?,['11656376'],['11656375'],02q-place,place,place
11656376,station,"{'global': 'place', 'local': '02q-place'}",2318143,Which place is it?,['11656375'],['11656376'],02q-place,place,place
03653715,river,"{'global': 'place', 'local': '02q-place'}",2324190,Which place is it?,"['03653720', '03653718', '03653719', '03653714', '03653716', '03653717']",['03653715'],02q-place,place,place
061031194,field,"{'global': 'place', 'local': '02q-place'}",2340788,Which place is it?,"['061031192', '061031193', '061031195', '061031196', '061031197', '061031198', '061031199']",['061031194'],02q-place,place,place
04561429,street,"{'global': 'place', 'local': '02q-place'}",2353027,Which place is it?,"['04561428', '04561427']",['04561429'],02q-place,place,place
00364826,field,"{'global': 'place', 'local': '02q-place'}",2372458,Which place is it?,"['00364827', '00364825', '00364824', '00364829', '00364828']",['00364826'],02q-place,place,place
0097634,hangar,"{'global': 'place', 'local': '02q-place'}",2392098,Where is it?,['0097635'],['0097634'],02q-place,place,place
18608189,ocean,"{'global': 'place', 'local': '02q-place'}",2344701,Which place is it?,['18608188'],['18608189'],02q-place,place,place
02902171,parking lot,"{'global': 'place', 'local': '02q-place'}",456,Which place is it?,"['02902173', '02902172', '02902170', '02902174']",['02902171'],02q-place,place,place
13860123,forest,"{'global': 'place', 'local': '02q-place'}",2343347,Which place is it?,"['13860129', '13860128', '13860122', '13860121', '13860130', '13860126', '13860125', '13860124', '13860127']",['13860123'],02q-place,place,place
10575376,pavement,"{'global': 'road', 'local': '02q-place'}",2400231,Which place is it?,['10575375'],['10575376'],02q-place,place,road
16571443,beach,"{'global': 'place', 'local': '02q-place'}",2398231,Which place is it?,"['16571445', '16571444', '16571446', '16571442']",['16571443'],02q-place,place,place
13220773,ocean,"{'global': 'place', 'local': '02q-place'}",2389382,Which place is this image in?,"['13220774', '13220772']","['13220773', '13220772']",02q-place,place,place
09607753,field,"{'global': 'place', 'local': '02q-place'}",2327885,Which place is it?,"['09607755', '09607754', '09607757', '09607756', '09607752']",['09607753'],02q-place,place,place
051042092,beach,"{'global': 'place', 'local': '02q-place'}",2324367,Which place is it?,"['051042093', '051042091', '051042097', '051042096', '051042095', '051042094']",['051042092'],02q-place,place,place
16841826,airport,"{'global': 'place', 'local': '02q-place'}",2405648,Which place is it?,"['16841827', '16841825', '16841824', '16841829', '16841828']",['16841826'],02q-place,place,place
061009629,street,"{'global': 'place', 'local': '02q-place'}",2363842,Which place is it?,['061009628'],['061009629'],02q-place,place,place
08922453,park,"{'global': 'place', 'local': '02q-place'}",2317491,Which place is it?,"['08922456', '08922457', '08922454', '08922455', '08922452', '08922451']",['08922453'],02q-place,place,place
08810511,pavement,"{'global': 'road', 'local': '02q-place'}",2333430,Which place is it?,['08810510'],['08810511'],02q-place,place,road
1991449,desert,"{'global': 'place', 'local': '02q-place'}",2402568,Which place is it?,"['1991454', '1991455', '1991450', '1991451', '1991452', '1991453', '1991448']",['1991449'],02q-place,place,place
14717299,garden,"{'global': 'place', 'local': '02q-place'}",2413767,Which place is it?,"['14717301', '14717300', '14717302', '14717298']",['14717299'],02q-place,place,place
12962552,pasture,"{'global': 'place', 'local': '02q-place'}",2385012,What place is it?,['12962553'],['12962552'],02q-place,place,place
12962553,pasture,"{'global': 'place', 'local': '02q-place'}",2385012,Which place is it?,['12962552'],['12962553'],02q-place,place,place
1366911,walkway,"{'global': 'road', 'local': '02q-place'}",4253,Which place is it?,['1366910'],['1366911'],02q-place,place,road
1366910,walkway,"{'global': 'road', 'local': '02q-place'}",4253,Where was the photo taken?,['1366911'],['1366910'],02q-place,place,road
14339233,station,"{'global': 'place', 'local': '02q-place'}",2367229,Which place is it?,['14339232'],['14339233'],02q-place,place,place
19848650,walkway,"{'global': 'road', 'local': '02q-place'}",2331296,What place is the picture in?,['19848651'],['19848650'],02q-place,place,road
01637435,ocean,"{'global': 'place', 'local': '02q-place'}",2315597,What kind of place is this?,['01637436'],['01637435'],02q-place,place,place
04838159,field,"{'global': 'place', 'local': '02q-place'}",2316211,Which place is it?,"['04838162', '04838163', '04838160', '04838161', '04838158']",['04838159'],02q-place,place,place
07800160,ocean,"{'global': 'place', 'local': '02q-place'}",2316811,What place is this?,['07800161'],['07800160'],02q-place,place,place
07800161,ocean,"{'global': 'place', 'local': '02q-place'}",2316811,Which place is it?,['07800160'],['07800161'],02q-place,place,place
16171886,sidewalk,"{'global': 'road', 'local': '02q-place'}",2349910,Which place is it?,"['16171885', '16171884']",['16171886'],02q-place,place,road
17395389,street,"{'global': 'place', 'local': '02q-place'}",2331173,What place is pictured?,['17395390'],['17395389'],02q-place,place,place
17734467,station,"{'global': 'place', 'local': '02q-place'}",2401607,Which place is it?,['17734466'],['17734467'],02q-place,place,place
01630714,hotel room,"{'global': 'place', 'local': '02q-place'}",2357139,Which place is it?,['01630713'],['01630714'],02q-place,place,place
13502449,street,"{'global': 'place', 'local': '02q-place'}",2392005,Which place is it?,['13502448'],['13502449'],02q-place,place,place
09768839,pavement,"{'global': 'road', 'local': '02q-place'}",2317094,Which place is it?,['09768838'],['09768839'],02q-place,place,road
09768838,pavement,"{'global': 'road', 'local': '02q-place'}",2317094,What type of place is pictured?,['09768839'],['09768838'],02q-place,place,road
061021723,ocean,"{'global': 'place', 'local': '02q-place'}",2387515,Which place is it?,['061021722'],['061021723'],02q-place,place,place
12389853,street,"{'global': 'place', 'local': '02q-place'}",2354417,What place could this be?,['12389854'],['12389853'],02q-place,place,place
11743822,forest,"{'global': 'place', 'local': '02q-place'}",2316376,Which place is it?,"['11743821', '11743823', '11743824', '11743825', '11743826', '11743827']",['11743822'],02q-place,place,place
191013297,station,"{'global': 'place', 'local': '02q-place'}",2401744,What place was the image taken at?,['191013298'],['191013297'],02q-place,place,place
03488923,park,"{'global': 'place', 'local': '02q-place'}",2350461,Which place is it?,"['03488921', '03488922', '03488925', '03488924', '03488926']",['03488923'],02q-place,place,place
14606114,river,"{'global': 'place', 'local': '02q-place'}",1159287,Which place is it?,"['14606112', '14606113', '14606115', '14606116', '14606117']",['14606114'],02q-place,place,place
11330875,station,"{'global': 'place', 'local': '02q-place'}",2409679,Which place is it?,['11330874'],['11330875'],02q-place,place,place
11330874,station,"{'global': 'place', 'local': '02q-place'}",2409679,Where was the picture taken?,['11330875'],['11330874'],02q-place,place,place
07919374,pavement,"{'global': 'road', 'local': '02q-place'}",2412619,Which place is it?,"['07919373', '07919372']",['07919374'],02q-place,place,road
08571657,park,"{'global': 'place', 'local': '02q-place'}",2357158,Which place is it?,"['08571661', '08571655', '08571656', '08571662', '08571658', '08571659', '08571660']",['08571657'],02q-place,place,place
06101315,field,"{'global': 'place', 'local': '02q-place'}",2378112,Which place is it?,"['06101316', '06101317', '06101314', '06101318']",['06101315'],02q-place,place,place
1887211,field,"{'global': 'place', 'local': '02q-place'}",2336758,Which place is it?,"['1887210', '1887213', '1887212', '1887215', '1887214']",['1887211'],02q-place,place,place
14479893,pond,"{'global': 'place', 'local': '02q-place'}",2413154,Which place is it?,"['14479895', '14479894', '14479897', '14479896', '14479891', '14479890', '14479892']",['14479893'],02q-place,place,place
08499340,ocean,"{'global': 'place', 'local': '02q-place'}",2323836,Which place is it?,['08499339'],['08499340'],02q-place,place,place
03231728,street,"{'global': 'place', 'local': '02q-place'}",2350501,Which venue is this?,['03231729'],['03231728'],02q-place,place,place
03231729,street,"{'global': 'place', 'local': '02q-place'}",2350501,Which place is it?,['03231728'],['03231729'],02q-place,place,place
181030772,street,"{'global': 'place', 'local': '02q-place'}",2383254,Which place is it?,['181030771'],['181030772'],02q-place,place,place
05545370,field,"{'global': 'place', 'local': '02q-place'}",2376667,Which place is it?,"['05545369', '05545371', '05545372', '05545373', '05545374', '05545375']",['05545370'],02q-place,place,place
1782099,forest,"{'global': 'place', 'local': '02q-place'}",2416708,Which place is it?,"['1782102', '1782103', '1782100', '1782101', '1782098', '1782097']",['1782099'],02q-place,place,place
19136607,road,"{'global': 'road', 'local': '02q-place'}",2384941,Which place is it?,"['19136606', '19136604', '19136605']",['19136607'],02q-place,place,road
09867033,station,"{'global': 'place', 'local': '02q-place'}",2348820,Which place is it?,['09867032'],['09867033'],02q-place,place,place
09669357,skate park,"{'global': 'place', 'local': '02q-place'}",2333004,Which place is it?,['09669356'],['09669357'],02q-place,place,place
07959241,street,"{'global': 'place', 'local': '02q-place'}",2398174,Which place is it?,"['07959238', '07959239', '07959240']",['07959241'],02q-place,place,place
06538373,road,"{'global': 'road', 'local': '02q-place'}",2400450,Where was the image taken?,['06538374'],['06538373'],02q-place,place,road
10282568,ocean,"{'global': 'place', 'local': '02q-place'}",2369831,Where was the photo taken?,"['10282567', '10282569']","['10282567', '10282568']",02q-place,place,place
1886045,airport,"{'global': 'place', 'local': '02q-place'}",2410387,Which place is it?,"['1886049', '1886048', '1886047', '1886046', '1886044', '1886050']",['1886045'],02q-place,place,place
19644730,cafeteria,"{'global': 'place', 'local': '02q-place'}",2413198,Which place is it?,['19644729'],['19644730'],02q-place,place,place
03979932,lake,"{'global': 'place', 'local': '02q-place'}",2325725,Which place is it?,"['03979931', '03979930']",['03979932'],02q-place,place,place
12579200,beach,"{'global': 'place', 'local': '02q-place'}",2412569,Which place is it?,"['12579199', '12579198', '12579203', '12579202', '12579201']",['12579200'],02q-place,place,place
03548049,beach,"{'global': 'place', 'local': '02q-place'}",2388261,Which place is it?,"['03548048', '03548052', '03548053', '03548050', '03548051', '03548054']",['03548049'],02q-place,place,place
091038176,yard,"{'global': 'place', 'local': '02q-place'}",2388607,What kind of place is pictured?,['091038177'],['091038176'],02q-place,place,place
19985060,skate park,"{'global': 'place', 'local': '02q-place'}",2387407,Which place is it?,['19985059'],['19985060'],02q-place,place,place
01295648,walkway,"{'global': 'road', 'local': '02q-place'}",2346913,Which place is it?,[],['01295648'],02q-place,place,road
10523323,field,"{'global': 'place', 'local': '02q-place'}",2317803,Which place is it?,"['10523328', '10523322', '10523321', '10523327', '10523326', '10523325', '10523324']",['10523323'],02q-place,place,place
14778880,display,"{'global': 'place', 'local': '02q-place'}",2412470,Which place is it?,['14778879'],['14778880'],02q-place,place,place
14697886,field,"{'global': 'place', 'local': '02q-place'}",2386240,Which place is it?,"['14697885', '14697887', '14697888', '14697891', '14697889', '14697890']",['14697886'],02q-place,place,place
17985422,road,"{'global': 'road', 'local': '02q-place'}",2351548,Where was the image taken?,['17985423'],['17985422'],02q-place,place,road
17985423,road,"{'global': 'road', 'local': '02q-place'}",2351548,Which place is it?,['17985422'],['17985423'],02q-place,place,road
09159328,field,"{'global': 'place', 'local': '02q-place'}",3828,Which place is it?,"['09159329', '09159331', '09159330', '09159332', '09159327']",['09159328'],02q-place,place,place
02419001,field,"{'global': 'place', 'local': '02q-place'}",2382668,Which place is it?,"['02418999', '02418998', '02419004', '02419005', '02419000', '02419002', '02419003']",['02419001'],02q-place,place,place
05783848,sea,"{'global': 'place', 'local': '02q-place'}",2413511,Which place is it?,['05783847'],['05783848'],02q-place,place,place
0435437,railroad,"{'global': 'road', 'local': '02q-place'}",2339711,What place is this?,['0435438'],['0435437'],02q-place,place,road
18128478,station,"{'global': 'place', 'local': '02q-place'}",2352677,Which place is it?,['18128477'],['18128478'],02q-place,place,place
10728880,street,"{'global': 'place', 'local': '02q-place'}",2368108,Which place is it?,['10728879'],['10728880'],02q-place,place,place
0487132,railroad,"{'global': 'road', 'local': '02q-place'}",2328227,What place could this be?,['0487133'],['0487132'],02q-place,place,road
17578446,runway,"{'global': 'road', 'local': '02q-place'}",2340835,Which place is it?,['17578445'],['17578446'],02q-place,place,road
10187190,farm,"{'global': 'place', 'local': '02q-place'}",2335842,Which place is it?,"['10187192', '10187193', '10187191', '10187189', '10187188']",['10187190'],02q-place,place,place
1518492,park,"{'global': 'place', 'local': '02q-place'}",2333137,Which place is it?,"['1518497', '1518496', '1518495', '1518494', '1518493', '1518491', '1518490']",['1518492'],02q-place,place,place
11300343,patio,"{'global': 'place', 'local': '02q-place'}",2403048,Where was the picture taken?,"['11300344', '11300345']","['11300343', '11300344']",02q-place,place,place
11300345,patio,"{'global': 'place', 'local': '02q-place'}",2403048,Which place is it?,"['11300343', '11300344']",['11300345'],02q-place,place,place
03749796,ocean,"{'global': 'place', 'local': '02q-place'}",2322028,What place is this image in?,"['03749798', '03749797']","['03749796', '03749797']",02q-place,place,place
03749798,ocean,"{'global': 'place', 'local': '02q-place'}",2322028,Which place is it?,"['03749796', '03749797']",['03749798'],02q-place,place,place
01298639,parking lot,"{'global': 'place', 'local': '02q-place'}",2363311,Which place is it?,"['01298638', '01298643', '01298642', '01298641', '01298640']",['01298639'],02q-place,place,place
00537909,city,"{'global': 'place', 'local': '02q-place'}",2395848,Which place is it?,"['00537911', '00537910', '00537913', '00537912', '00537908']",['00537909'],02q-place,place,place
08769004,park,"{'global': 'place', 'local': '02q-place'}",2382796,Which place is it?,"['08769006', '08769007', '08769005', '08769003']",['08769004'],02q-place,place,place
14225849,ocean,"{'global': 'place', 'local': '02q-place'}",2391257,What place is this?,['14225850'],['14225849'],02q-place,place,place
031015191,walkway,"{'global': 'road', 'local': '02q-place'}",266,Which place is it?,['031015190'],['031015191'],02q-place,place,road
031015190,walkway,"{'global': 'road', 'local': '02q-place'}",266,What kind of place is pictured?,['031015191'],['031015190'],02q-place,place,road
01418950,field,"{'global': 'place', 'local': '02q-place'}",2319608,Which place is it?,"['01418952', '01418951', '01418953', '01418949']",['01418950'],02q-place,place,place
18158219,path,"{'global': 'road', 'local': '02q-place'}",2351590,What type of place is this?,['18158220'],['18158219'],02q-place,place,road
11886792,store,"{'global': 'place', 'local': '02q-place'}",1592597,Which place is it?,"['11886794', '11886795', '11886796', '11886791', '11886793']",['11886792'],02q-place,place,place
08292330,forest,"{'global': 'place', 'local': '02q-place'}",2366907,Which place is it?,"['08292329', '08292335', '08292334', '08292336', '08292331', '08292333', '08292332']",['08292330'],02q-place,place,place
13187025,field,"{'global': 'place', 'local': '02q-place'}",2319814,Which place is it?,"['13187028', '13187023', '13187026', '13187027', '13187024']",['13187025'],02q-place,place,place
14291498,ocean,"{'global': 'place', 'local': '02q-place'}",2321382,Where was the picture taken?,['14291499'],['14291498'],02q-place,place,place
18373104,hallway,"{'global': 'place', 'local': '02q-place'}",2079,Which place is it?,"['18373105', '18373106', '18373107', '18373103']",['18373104'],02q-place,place,place
08550950,pond,"{'global': 'place', 'local': '02q-place'}",2416033,Which place is it?,"['08550952', '08550953', '08550951', '08550949', '08550948']",['08550950'],02q-place,place,place
08598468,zoo,"{'global': 'place', 'local': '02q-place'}",2341739,Which place is it?,"['08598467', '08598471', '08598470', '08598469']",['08598468'],02q-place,place,place
17263070,road,"{'global': 'road', 'local': '02q-place'}",2344536,Which place is it?,['17263069'],['17263070'],02q-place,place,road
07378941,road,"{'global': 'road', 'local': '02q-place'}",3478,Which place is it?,['07378940'],['07378941'],02q-place,place,road
03841589,street,"{'global': 'place', 'local': '02q-place'}",2896,What place is the photo in?,['03841590'],['03841589'],02q-place,place,place
13879869,pavement,"{'global': 'road', 'local': '02q-place'}",2340693,What place is it?,['13879870'],['13879869'],02q-place,place,road
08768898,swimming pool,"{'global': 'place', 'local': '02q-place'}",2382791,Which place is it?,['08768897'],['08768898'],02q-place,place,place
07930434,field,"{'global': 'place', 'local': '02q-place'}",2353372,Which place is it?,"['07930433', '07930437', '07930436', '07930435', '07930438']",['07930434'],02q-place,place,place
04674659,pavement,"{'global': 'road', 'local': '02q-place'}",2402940,What place is shown?,['04674660'],['04674659'],02q-place,place,road
14574726,city,"{'global': 'place', 'local': '02q-place'}",2317056,Which place is it?,"['14574730', '14574727', '14574725', '14574729', '14574728']",['14574726'],02q-place,place,place
17723041,walkway,"{'global': 'road', 'local': '02q-place'}",2416009,Which place is it?,['17723040'],['17723041'],02q-place,place,road
18822306,ocean,"{'global': 'place', 'local': '02q-place'}",2350241,Which place is it?,['18822305'],['18822306'],02q-place,place,place
05130366,forest,"{'global': 'place', 'local': '02q-place'}",2410067,Which place is it?,"['05130369', '05130368', '05130370', '05130367', '05130371', '05130365', '05130364']",['05130366'],02q-place,place,place
18548973,airport,"{'global': 'place', 'local': '02q-place'}",2367930,Which place is it?,"['18548975', '18548974', '18548976', '18548972']",['18548973'],02q-place,place,place
17588082,park,"{'global': 'place', 'local': '02q-place'}",2337004,Which place is it?,"['17588081', '17588083', '17588085', '17588084']",['17588082'],02q-place,place,place
11970409,railroad,"{'global': 'road', 'local': '02q-place'}",2381467,What is the photo showing?,"['11970410', '11970408']","['11970408', '11970409']",02q-place,place,road
10547981,field,"{'global': 'place', 'local': '02q-place'}",2375288,Which place is it?,"['10547988', '10547985', '10547984', '10547987', '10547986', '10547980', '10547983', '10547982']",['10547981'],02q-place,place,place
17356225,station,"{'global': 'place', 'local': '02q-place'}",2362854,Which place is it?,['17356224'],['17356225'],02q-place,place,place
07990095,city,"{'global': 'place', 'local': '02q-place'}",2395466,Which place is it?,"['07990098', '07990093', '07990097', '07990096', '07990094']",['07990095'],02q-place,place,place
12611117,park,"{'global': 'place', 'local': '02q-place'}",2341537,Which place is it?,"['12611118', '12611119', '12611121', '12611120', '12611116']",['12611117'],02q-place,place,place
14420667,stage,"{'global': 'place', 'local': '02q-place'}",2339173,Which place is it?,['14420666'],['14420667'],02q-place,place,place
14420666,stage,"{'global': 'place', 'local': '02q-place'}",2339173,What place is shown?,['14420667'],['14420666'],02q-place,place,place
049621,field,"{'global': 'place', 'local': '02q-place'}",2359319,Which place is it?,"['049628', '049623', '049622', '049620', '049627', '049626', '049625', '049624']",['049621'],02q-place,place,place
16896088,pond,"{'global': 'place', 'local': '02q-place'}",2407641,Which place is it?,"['16896089', '16896087', '16896092', '16896093', '16896090', '16896091', '16896094']",['16896088'],02q-place,place,place
051026494,street,"{'global': 'place', 'local': '02q-place'}",2364653,Which place is it?,['051026493'],['051026494'],02q-place,place,place
15978989,swimming pool,"{'global': 'place', 'local': '02q-place'}",1592297,What place was the picture taken at?,['15978990'],['15978989'],02q-place,place,place
14353940,field,"{'global': 'place', 'local': '02q-place'}",2334697,Which place is it?,"['14353939', '14353938', '14353944', '14353942', '14353943', '14353941']",['14353940'],02q-place,place,place
05202106,road,"{'global': 'road', 'local': '02q-place'}",2332039,What place is shown?,"['05202107', '05202105', '05202109', '05202108']","['05202108', '05202107', '05202106', '05202105']",02q-place,place,road
07483430,parking lot,"{'global': 'place', 'local': '02q-place'}",2344008,Which place is it?,"['07483432', '07483429', '07483433', '07483431']",['07483430'],02q-place,place,place
1683404,beach,"{'global': 'place', 'local': '02q-place'}",2370786,Which place is it?,"['1683408', '1683409', '1683403', '1683405', '1683406', '1683407']",['1683404'],02q-place,place,place
